symbol,date,ob_type,ob_time,ob_body_high,ob_body_low,ob_high,ob_low
ADANIENT,2026-05-08,BULL,09:30,2534.3,2527.0,2536.8,2524.3
ADANIENT,2026-05-12,BEAR,10:00,2470.1001,2468.0,2472.0,2463.7
ADANIENT,2026-05-13,BULL,10:45,2462.0,2455.7,2467.0,2455.0
ADANIENT,2026-05-14,BULL,09:45,2620.8999,2620.8,2629.8999,2618.0
ADANIENT,2026-05-14,BULL,10:45,2627.5,2622.2,2630.0,2619.0
ADANIENT,2026-05-22,BULL,10:15,2724.8,2715.0,2726.0,2713.5
ADANIENT,2026-05-26,BULL,09:30,2864.6001,2860.8999,2865.6001,2847.2
ADANIENT,2026-05-27,BULL,09:30,2975.0,2962.0,2987.3,2961.7
ADANIENT,2026-05-27,BULL,09:45,2963.2,2960.0,2965.0,2954.5
ADANIENT,2026-05-29,BEAR,09:15,2975.7,2971.8999,2983.7,2970.6001
ADANIENT,2026-05-29,BEAR,10:00,2952.0,2941.7,2952.6001,2937.8999
ADANIENT,2026-06-02,BULL,09:30,2895.2,2889.1001,2896.5,2876.8999
ADANIENT,2026-06-02,BEAR,11:00,2893.0,2883.8999,2896.2,2883.8
ADANIENT,2026-06-09,BEAR,09:30,2981.0,2967.8999,2989.0,2966.1001
ADANIENT,2026-06-16,BULL,09:15,2972.2,2970.0,2976.8999,2965.0
ADANIENT,2026-06-16,BULL,09:30,2970.8,2962.3,2974.3,2958.3999
ADANIENT,2026-06-17,BULL,09:45,2950.5,2946.3999,2953.0,2943.5
ADANIENT,2026-06-22,BULL,10:30,3015.8,3008.2,3016.0,3008.0
ADANIENT,2026-06-24,BULL,09:30,3004.3999,2982.5,3004.3999,2980.0
ADANIENT,2026-06-24,BULL,10:45,3019.1001,3011.5,3033.6001,3008.1001
ADANIENT,2026-06-25,BULL,09:15,3082.8,3075.6001,3085.0,3073.0
ADANIENT,2026-06-25,BULL,10:45,3080.0,3077.8,3082.8999,3071.0
ADANIENT,2026-06-30,BULL,10:15,2991.6001,2982.8,2991.7,2982.0
ADANIENT,2026-06-30,BULL,10:30,2983.8,2981.0,2984.3999,2978.0
ADANIENT,2026-07-02,BULL,09:15,3171.6001,3162.5,3188.0,3147.2
ADANIENT,2026-07-06,BULL,09:15,3231.8,3192.3999,3231.8,3191.1001
ADANIENT,2026-07-07,BEAR,09:30,3187.8,3185.0,3190.8999,3178.3999
ADANIENT,2026-07-08,BULL,09:30,3119.0,3112.6001,3123.5,3100.0
ADANIENT,2026-07-09,BEAR,10:30,3062.8999,3056.7,3077.7,3053.3
ADANIENT,2026-07-13,BULL,09:30,3147.6001,3145.8999,3154.0,3137.0
ADANIENT,2026-07-14,BULL,10:15,3175.0,3174.3999,3185.8999,3171.0
ADANIENT,2026-07-14,BULL,10:45,3180.3,3178.7,3187.1001,3177.0
ADANIENT,2026-07-15,BEAR,11:00,3186.3999,3184.5,3189.0,3184.2
ADANIENT,2026-07-16,BULL,09:15,3160.0,3150.0,3167.3999,3149.0
ADANIENT,2026-07-16,BULL,10:00,3162.3,3159.5,3168.8,3158.8999
ADANIENT,2026-07-20,BEAR,09:15,3151.0,3150.7,3157.7,3146.0
ADANIENT,2026-07-21,BULL,09:30,3193.8,3187.8,3193.8999,3181.2
ADANIENT,2026-07-23,BEAR,09:15,3127.1001,3126.7,3138.6001,3126.0
ADANIPORTS,2026-05-05,BULL,09:15,1745.3,1723.3,1745.7,1719.0
ADANIPORTS,2026-05-07,BEAR,09:30,1730.0,1729.3,1733.6,1728.0
ADANIPORTS,2026-05-11,BULL,09:45,1760.0,1755.2,1763.0,1755.0
ADANIPORTS,2026-05-12,BEAR,10:15,1735.7,1731.3,1736.7,1730.6
